id,time,zhonghnanindown
5546,2016/1/9 6:05,11
5547,2016/1/9 6:10,8
5548,2016/1/9 6:15,10
5549,2016/1/9 6:20,15
5550,2016/1/9 6:25,12
5551,2016/1/9 6:30,11
5552,2016/1/9 6:35,14
5553,2016/1/9 6:40,13
5554,2016/1/9 6:45,22
5555,2016/1/9 6:50,16
5556,2016/1/9 6:55,14
5557,2016/1/9 7:00,18
5558,2016/1/9 7:05,13
5559,2016/1/9 7:10,21
5560,2016/1/9 7:15,24
5561,2016/1/9 7:20,25
5562,2016/1/9 7:25,29
5563,2016/1/9 7:30,35
5564,2016/1/9 7:35,31
5565,2016/1/9 7:40,52
5566,2016/1/9 7:45,43
5567,2016/1/9 7:50,37
5568,2016/1/9 7:55,63
5569,2016/1/9 8:00,57
5570,2016/1/9 8:05,40
5571,2016/1/9 8:10,54
5572,2016/1/9 8:15,42
5573,2016/1/9 8:20,54
5574,2016/1/9 8:25,44
5575,2016/1/9 8:30,44
5576,2016/1/9 8:35,32
5577,2016/1/9 8:40,48
5578,2016/1/9 8:45,36
5579,2016/1/9 8:50,64
5580,2016/1/9 8:55,43
5581,2016/1/9 9:00,63
5582,2016/1/9 9:05,45
5583,2016/1/9 9:10,51
5584,2016/1/9 9:15,50
5585,2016/1/9 9:20,56
5586,2016/1/9 9:25,34
5587,2016/1/9 9:30,39
5588,2016/1/9 9:35,51
5589,2016/1/9 9:40,69
5590,2016/1/9 9:45,57
5591,2016/1/9 9:50,56
5592,2016/1/9 9:55,54
5593,2016/1/9 10:00,52
5594,2016/1/9 10:05,42
5595,2016/1/9 10:10,44
5596,2016/1/9 10:15,47
5597,2016/1/9 10:20,40
5598,2016/1/9 10:25,61
5599,2016/1/9 10:30,42
5600,2016/1/9 10:35,29
5601,2016/1/9 10:40,35
5602,2016/1/9 10:45,40
5603,2016/1/9 10:50,34
5604,2016/1/9 10:55,35
5605,2016/1/9 11:00,37
5606,2016/1/9 11:05,29
5607,2016/1/9 11:10,45
5608,2016/1/9 11:15,34
5609,2016/1/9 11:20,36
5610,2016/1/9 11:25,30
5611,2016/1/9 11:30,29
5612,2016/1/9 11:35,32
5613,2016/1/9 11:40,31
5614,2016/1/9 11:45,39
5615,2016/1/9 11:50,29
5616,2016/1/9 11:55,46
5617,2016/1/9 12:00,33
5618,2016/1/9 12:05,42
5619,2016/1/9 12:10,36
5620,2016/1/9 12:15,40
5621,2016/1/9 12:20,40
5622,2016/1/9 12:25,38
5623,2016/1/9 12:30,40
5624,2016/1/9 12:35,35
5625,2016/1/9 12:40,34
5626,2016/1/9 12:45,24
5627,2016/1/9 12:50,37
5628,2016/1/9 12:55,35
5629,2016/1/9 13:00,34
5630,2016/1/9 13:05,46
5631,2016/1/9 13:10,41
5632,2016/1/9 13:15,40
5633,2016/1/9 13:20,38
5634,2016/1/9 13:25,33
5635,2016/1/9 13:30,33
5636,2016/1/9 13:35,37
5637,2016/1/9 13:40,20
5638,2016/1/9 13:45,29
5639,2016/1/9 13:50,37
5640,2016/1/9 13:55,46
5641,2016/1/9 14:00,42
5642,2016/1/9 14:05,43
5643,2016/1/9 14:10,35
5644,2016/1/9 14:15,43
5645,2016/1/9 14:20,47
5646,2016/1/9 14:25,51
5647,2016/1/9 14:30,37
5648,2016/1/9 14:35,37
5649,2016/1/9 14:40,41
5650,2016/1/9 14:45,33
5651,2016/1/9 14:50,39
5652,2016/1/9 14:55,74
5653,2016/1/9 15:00,41
5654,2016/1/9 15:05,42
5655,2016/1/9 15:10,52
5656,2016/1/9 15:15,42
5657,2016/1/9 15:20,32
5658,2016/1/9 15:25,52
5659,2016/1/9 15:30,37
5660,2016/1/9 15:35,45
5661,2016/1/9 15:40,45
5662,2016/1/9 15:45,42
5663,2016/1/9 15:50,38
5664,2016/1/9 15:55,29
5665,2016/1/9 16:00,34
5666,2016/1/9 16:05,44
5667,2016/1/9 16:10,53
5668,2016/1/9 16:15,62
5669,2016/1/9 16:20,44
5670,2016/1/9 16:25,51
5671,2016/1/9 16:30,45
5672,2016/1/9 16:35,54
5673,2016/1/9 16:40,37
